Job Title,Company,Experience,Salary,Location,Description,Skills
Executive(L6) - BIW Maintenance,Tata Motors Finance,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Minimum 3 - 5 Years of Industry experience-BIW Maintenance . Manufacturing process of B...,"SAP, Maintenance, Troubleshooting, Management, Process, Biw, Kaizen, MTBF"
AQ-Body/ Sr. Manager,Tata Motors Finance,10-12 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",This position (L5 / L6) is responsible for new part development related to BIW assembli...,"Sheet, Metal, Management, Development, Sheet metal, Biw, SR, New product"
Junior Engineer,Flowserve,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,+ Proficient in CAD software Solidworks and PTC Windchill + Proficient in general arran...,"Technical documentation, Documentation, Basic, Technical, Accessories, AutoCAD, Automation, CAD"
Stanza Living Hiring For R&M (Repair & Maintenance),Stanza Living,1-3 Yrs,2-3.5 Lacs PA,"Hyderabad/ Secunderabad, Telangana, Bangalore/Bengaluru","Hi, We have Opening in Stanza Living for R&M-Repair & Maintenance Interested candidates...","vendor development, maintenance management, Repair And Maintenance, Electricians, Facility Management, QSR, M, Fast food"
Engineer -Piping Stress / Piping Material / Structural (SACS),Fossil Wood Engineering And Contracting Services,5-10 Yrs,Not disclosed,"Mumbai, Maharashtra, Bangalore/Bengaluru",Piping stress Engineer with FPSO experience Must. Structural Engineer with SACS Experie...,"Detail Engineering, fpso, SACS, Analysis, Materials, Detailing, Engineering, Piping"
Engineer/ Sr Engineer - Design (Grid Connect Solar Power Plant & BESS),Sterling And Wilson Renewable Energy,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Education : BE / B Tech / Diploma (Electrical & Electronics) . Specific knowledge of so...,"AutoCAD, Sketchup, Renewable energy, Plant, Power plant, Solar Power, Solar, Design"
"Hiring For Wiring Harness Engineers (3-8 yrs) @ Tata Elxsi, Bangalore",Tata Elxsi,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,Tata Elxsi is hiring for bright and passionate Wiring Harness Design Engineers with bel...,"Wiring Harness, Zuken, E3, Hiring, Cable Harness, ED, Team Centre, Wiring Harness Design"
Product Quality and Reliability Engineer,Applied Materials,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Our Ideal Candidate. Masters or Bachelor of Mechanical Engineering At least 5 years of ...,"product development, Reliability, Development, Prototype, Mechanical, Engineering, Product quality, New product"
NCR Blade Integrity Engineer,Quality Engineering Software Technologies Pvt. Ltd.,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,". Engineering degree (Bachelors or Masters) in any of the field: Mechanical, Aerospace,...","Data analytics, Data analysis, Data, Ansys, Turbine, Analytics, Aeronautical Engineering, Engineering services"
Lead Reliability Instrumentation Engineer,Quality Engineering Software Technologies Pvt. Ltd.,6-10 Yrs,Not disclosed,Bangalore/Bengaluru,. : . Should have experience in Criticality assessment . Should able to develop equipme...,"Interpersonal, Engineering services, Software testing, Equipment, Engineering, SAP, SIL, Equipment maintenance"
Field Application Engineer,Infineon,8-11 Yrs,Not disclosed,Bangalore/Bengaluru,"Work with Sales and Marketing team, secure design-in\/design-win at key\/focused custom...","Training, System, Application, Product training, Engineering, Field, Technical, Customer support"
Mechanical Engineer,Applied Materials,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,From the field of product design & development preferably from semiconductor / SPM/ Aut...,"Mechanical engineering, CAD, Static, Heavy engineering, Generation, Heavy, Design, Product design"
"Casting Design, Detailing and Modelling Engineer",Caterpillar Inc,5-10 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","Thorough Pro- E experience with general Engineering knowledge, knowledge on Transmissio...","Inspection, Pro-E, Casting Design, Mechanical, Detailing, Design engineering, Surfacing, Engineering"
Associate Engineer,Caterpillar Inc,6-8 Yrs,Not disclosed,Bangalore/Bengaluru,A full time Bachelor degree in an accredited Engineering College or University (Mechani...,"Solid, Cycle time reduction, Solid works, Project management, Manufacturing, Data analysis, Time, Manufacturing process"
Industry X - Aero Engineering - Airframe Design - 10,Accenture,8-10 Yrs,Not disclosed,Bangalore/Bengaluru,ROLE AND TALENT PROFILEWho we are looking for?Pro-active Aerospace Design Engineer with...,"CATIA, Aero Engineering, Simulation, MATLAB, VPM, C, ENOVIA V6, Scripting"
Trainee Engineer (hospet),2coms,0-5 Yrs,"50,000-3 Lacs PA","Bangalore/Bengaluru, Hospet",We are hiring for Diversity apprenticeship Trainee Engineer who will be responsible for...,"Training, Trainee Engineer"
Site Engineer,Nayara Energy,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Ensuring required interaction, exposure and trainings","Contractors, Software testing, Building, Site, Reporting, Contracts, Technical, Contractor billing"
Industry X - Aero Engineering - ESI - 10,Accenture,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Experience on Airbus Tools andMethods is must . Good understanding of Engineering Drawi...,"Aero Engineering, A320 Program, Airbus A350, Electrical system installation, Program, System, X, Manufacturing Operation"
Executive Global Product Development,Avery Dennison,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Diploma / Bachelor s degree in fashion design requiredProcess all developments with a m...,"technical support, product development, fashion designing, Technical, Fashion, Development, Global, Design"
Production & Planning Co-Ordinator,Titan Consultancy,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,Education and Experience: Candidate must possess at least a bachelor s degree in manage...,"Production, Operations management, Manufacturing Operation, Management, Manufacturing operations, Production planning, Operations, Planning"
Trainee Engineer (hospet),2coms,0-5 Yrs,"50,000-3 Lacs PA","Bangalore/Bengaluru, Hospet",We are hiring for Diversity apprenticeship Trainee Engineer who will be responsible for...,"Training, Trainee Engineer"
Site Engineer,Nayara Energy,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","Ensuring required interaction, exposure and trainings","Contractors, Software testing, Building, Site, Reporting, Contracts, Technical, Contractor billing"
Industry X - Aero Engineering - ESI - 10,Accenture,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,Experience on Airbus Tools andMethods is must . Good understanding of Engineering Drawi...,"Aero Engineering, A320 Program, Airbus A350, Electrical system installation, Program, System, X, Manufacturing Operation"
Executive Global Product Development,Avery Dennison,2-3 Yrs,Not disclosed,Bangalore/Bengaluru,Diploma / Bachelor s degree in fashion design requiredProcess all developments with a m...,"technical support, product development, fashion designing, Technical, Fashion, Development, Global, Design"
Production & Planning Co-Ordinator,Titan Consultancy,4-5 Yrs,Not disclosed,Bangalore/Bengaluru,Education and Experience: Candidate must possess at least a bachelor s degree in manage...,"Production, Operations management, Manufacturing Operation, Management, Manufacturing operations, Production planning, Operations, Planning"
TCMS - Vehicle control Engineer,Quality Engineering Software Technologies Pvt. Ltd.,5-5 Yrs,Not disclosed,Bangalore/Bengaluru,"We are looking for humble geniuses, who believe that engineering has the potential to m...","Training, Engineering, Engineering Design, Design, Control Testing, Control, Control system, Verification"
Lead Reliabilty Mechanical Engineer,Quality Engineering Software Technologies Pvt. Ltd.,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor degree in Mechanical engineering 15+ years of experience in related industry (...,"Inspection, Documentation, Mechanical, Petrochemical, Engineering, Interpersonal skills, Engineering services, SAP"
F&DT Analysis Engineer,Quality Engineering Software Technologies Pvt. Ltd.,6-7 Yrs,Not disclosed,Bangalore/Bengaluru,Experience with the use of both Finite Element (NASTRAN / PATRAN/HYPER MESH) and classi...,"DT, F#, Analytics, CATIA, Engineering services, Aeronautical Engineering, Aeronautical, CAD"
Concession Stress Engineer,Quality Engineering Software Technologies Pvt. Ltd.,8-12 Yrs,Not disclosed,Bangalore/Bengaluru,. Study previous solutions for clearing the non-conformances and apply them as required...,"Engineering, SAP, Aeronautical Engineering, German, Process, Technical, Leadership, Improvement"
Concession Design Engineer,Quality Engineering Software Technologies Pvt. Ltd.,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,Identify the non-conformance of concessions from design point of view and providing the...,"Software testing, Technology management, SAP, Management, Technology, Design, Engineering services, Aeronautical Engineering"
Process Specialist Engineer,Nexplace Info,8-13 Yrs,14-17 Lacs PA,Bangalore/Bengaluru,Bachelor in chemical engineeringThe successful candidate must have experience in execut...,"aspen flare, Pipesim, Hydraulic Calculations, control narrative, Aspen Hysys, Process, Ematrix, Equipment design"
Mechanical Design Engineer,Quest Global,3-6 Yrs,4-7 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Experience: 3 - 6 Years Skills and Abilities: Working Experience on BiW Structure and g...,"Unigraphics NX, CAD Modelling, NX, Cadworx, Mechanical design, Mechanical, Unigraphics, CAD"
Industry X - Aerostructure - Stress Engineer - 11,Accenture,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Youll work on India s prestigious civil aircraft program enabling you to get hands on e...,"CATIA, CAD, Stress Engineering, structural design, Structural analysis, Basic, Visual Basic, Analysis"
Engineering Services Associate-Supply chain engineering service,Accenture,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,Skill required: Supply chain engineering service - Electrical EngineeringDesignation: E...,"IEE, Supply Chain, ANSI, Supply chain engineering, Electrical Engineering, Engineering, Electricals, Supply"
Manufacturing Engineer (Mechanical),Applied Materials,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Has hands on experience on creating and monitoring KPI metrics and provide recommendati...,"Manufacturing, Manufacturing engineering, Management, Development, PLM, Software, Change, KPI"
RelScan Engineer,Hitachi Ltd.,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Very strong knowledge of national and international standard like IS / IEC/IEEE . Profi...,"Management, GI, OPEX, Switchgear, Risk, Risk assessment, HSE, Risk management"
Associate Engineer,Flowserve,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,+ Experience interpreting a variety of technical instructions in mathematical or diagra...,"Improvement, Continuous improvement, Mechanical, Geometry, Construction, Interpersonal, Fabrication, Six sigma"
Asst Manager - PE/CI,Cargill,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Support and administer production budget for a department, process, or shiftMinimum Qua...","Technical, Development, Six sigma green belt, Six sigma, Team, Performance, Six, Process excellence"
RelScan Engineer,Hitachi Energy,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Very strong knowledge of national and international standard like IS / IEC/IEEE . Profi...,"Assessment, Troubleshooting, Line, Switchgear, GIS, Single line diagram, GI, IEEE"
0707 Static-Rotary Mechanical Design Engineer - Bangalore Face-Face,Quest Global,10-18 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Knowledge of product cost and manufacturability driving factors. . Proficiency in Equip...,"CAD, Static, Rotating, Design engineering, 2D, Auto, Design, Rotary"
Sr Manager - Injectable - Engineering Maintenance - Malaysia,Biocon Biologics,15-20 Yrs,Not disclosed,Bangalore/Bengaluru,Job description:Educational Qualifications: BE- Mechanical EngineeringExperience: 15 - ...,"maintenance engineering, Preventive maintenance, Preventive, Equipment, Maintenance, Engineering, Equipment maintenance, SR"
Onsite & Floor Assembly Technician,Siemens,1-2 Yrs,Not disclosed,Bangalore/Bengaluru,"5 Should be familiar with medical standards like IS 7620-1, IEC 60601-1 and Quality Man...","Electrical engineering, Root cause analysis, QMS, Manufacturing process, Planning, ISO, Assembly, Assembly process"
Senior Software Engineer,Careernet Technologies,6-11 Yrs,Not disclosed,"Hybrid - Bangalore/ Bengaluru, Karnataka(Whitefield)",Shift : General,"C++, Unit testing, Software, Design patterns, SDLC, Embedded systems, Linux, Embedded Linux"
Maintenance Engineer,Biocon Biologics,1-6 Yrs,Not disclosed,Bangalore/Bengaluru(Bommenahalli),". Key Responsibilities : . * To attend the calibration, pm and breakdown requirements a...","Preventive Maintenance, Instrumentation, Calibration, Preventive, Instruments, Breakdown, Breakdown maintenance, Maintenance engineering"
Instrumentation Engineer,Biocon Biologics,5-9 Yrs,Not disclosed,Bangalore/Bengaluru(Bommenahalli),Role/Job Description: * (Female Candidates) Responsible for calibration of Aseptic proc...,"Injectables, Instruments, Calibration, Instrumentation engineering, Instrumentation"
Advance Process Control Engineer,Rockwell Automation,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,Required Qualifications: . Bachelors or equivalent degree in chemical engineering or ot...,"Networking, Process, System integration, Process control, Instrumentation, Integration, Advanced Process control, Development"
Catia EHI/EFI Engineer(Walk-In Drive @ Bangalore & Pune on 16th July),Cyient,3-8 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/Bengaluru","Cyient is a global engineering and technology solutions company. As a Design, Build, an...","CATIA, Engineering, Electrical engineering, Electricals, Harness, Design, Drives, Harness Design"
Engineer - Projects,Copeland,0-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Exposure in designing DCS cabinet and hardware design minimum up to 1500 IO s. .,"Execution, Project execution, Schedule, HRSG, Time Managements, Project, Profibus, Hardware design"
HCL Hiring Reliability and Availability engineers 10 + yrs @ CHN & BLR,HCLTech,10-20 Yrs,Not disclosed,"Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Engineering Graduate from Electrical Engineering / Mechanical. Strong understanding in ...,"MIL 217 F N2y, STD - 1629A, FTA compliances, Mil, Reliability, F#, Hiring, FTA"
HCL Hiring HAZiD and HAZoP Engineer 10+ yrs @ CHN & BLR Location,HCLTech,10-20 Yrs,Not disclosed,"Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Engineering Graduate from Electrical Engineering / Mechanical. Strong understanding of ...,"HAZID HAZOP, Functional Documents, Hiring, HAZID, Functional Documentation, HAZOP, Documents, Functional"
HCL Hiring Maintenance Engineer 10+ yrs @ CHN & BLR Location,HCLTech,10-20 Yrs,Not disclosed,"Chennai, Tamil Nadu, Bangalore/ Bengaluru, Karnataka",Engineering Graduate from Electrical Engineering / Mechanical. Strong understanding of ...,"RCM2 Process, IEC 60300-3-11 EN 13306 IEC 60300-3-12 IEC 60300-3-14 IEC 60706-2 EN 50110-1 IEC TS 63060, TS, Process, IEC, Hiring, Ens, Maintenance"
Asset Management,Foxconn Hon Hai Technology India Mega Development,7-12 Yrs,5-7 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry (Mobile Manufacturing). Engineer &...,"Asset management, Management, Purchase management, Asset, Customer service, Purchase"
Senior Associate Manager- Production,Collins Aerospace,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Accountability of Tier-1 and Tier-2 per standard of SPQDCM, which includes of Safety co...","Flooring, Monitoring, Manufacturing Operation, Production Operation, Plant, Cost reduction, Floor management, Process improvement"
Senior Associate Engineer - Production,Collins Aerospace,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,Should be able to Lead Installation new product line / improvement in existing line . E...,"Cost reduction, Lean, Cost, Fabrication, Six, SQA, Production planning, Process improvement"
Senior Associate Engineer - Manufacturing,Collins Aerospace,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,1. Provide Engineering support for a range of products through all phases of product tr...,"Instrumentation, Technical, Lean, Lean manufacturing, Automation, TQM, Maintenance, Instruments"
Deputy Manager - Manufacturing,Collins Aerospace,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,This position is accountable for providing both technical and Industrial Engineering/pr...,"Capacity, Forecasting, Ergonomics, Product costing, Troubleshooting, Supply, Manufacturing, TPM"
Deputy Manager - Manufacturing,Collins Aerospace,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Prepare all relevant manufacturing documents for New or Proto qualification products . ...,"Six, Flooring, Process, Six sigma, Design, Operations, Project development, Continuous improvement"
Site Supervisor,Reliance Retail,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,"We are looking for Site Supervisor, preferably with 2-4 years of experience in the Modu...","Drawing, Site supervision, Draw, CAD drawing, CAD, Site"
CREO Schematics and Cabling Engineer,Cyient,4-6 Yrs,Not disclosed,Bangalore/Bengaluru,Experience in Solid modeling / Sheetmetal and plastics is an added advantage 4+ years o...,"Schematic, Creo, Analytical, Cabling, Healthcare, Aerospace, Semiconductor, Analytics"
Assistant Manager Manufacturing Engineering,Collins Aerospace,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Industrial Engineering Tools for Process design and Lean Tools Plant Layout / New proce...,"Improvement, Productivity, Production support, Management, EHS, Process, Productivity improvement, Operations"
Junior Specialist -II,National Institute for Smart Government (NISG),2-5 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Support in Certification of Airworthy nessB.Tech -(mechanical)2 to 5 years of experienc...,"CATIA, Auto Cadd, Cam, Auto, IIS, Cadd"
Circle Security Officer,Jio,6-10 Yrs,5-8 Lacs PA,Bangalore/Bengaluru,"Experience in Fibre operation maintenance, OSP & Infra maintenance in companies like Id...","Slp, Security Management, Auditing, Loss prevention, Utility, Security audit, Management, Utility operation"
Quantity Surveyor,Featherlite,3-8 Yrs,3-6 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Desired Candidate Profile : . Preferable: Male Candidates Only. Experience in Commercia...,"Boq Preparation, Rate Analysis, Bending, Bar, Boq, Cost, Quantity surveying, Estimation"
Regional Cooling Service Expert (Cooling systems/HVAC systems),Schneider Electric,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"Thorough understanding of HVAC principles, specifically cooling and basic knowledge of ...","Hydraulics, HVAC Installation, Regional, Microsoft, System, Root cause analysis, Preventive, HVAC system"
Building Information Modeler (BIM) (MicroStation),Brunel,12-20 Yrs,Not disclosed,Bangalore/Bengaluru,. 5+ years of working experience of using Bentley AECO sim / Open Building Modeler V8i ...,"Water, Waste management, Waste water, Modeler, Building, PID, 3D Model, 3D"
Cab System & Components Structure - Engineer,Caterpillar Inc,2-6 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru",Strong Knowledge of Structure design Must be aware of steel grade used in Cabin and lig...,"Sheet, Green belt, Improvement, Metal, PPAP, Quality improvement, Six sigma green belt, Engineering"
Mechanical Engineer,Applied Materials,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,Knowledge necessary to perform job includes: Thorough knowledge of mechanical engineeri...,"mechanical engineering, Electrical engineering, Manufacturing engineering, Industrial, Fix, Assembly, Industrial engineering, Fixture design"
Mechanical Engineer,Applied Materials,2-4 Yrs,Not disclosed,Bangalore/Bengaluru,Knowledge necessary to perform job includes: Thorough knowledge of mechanical engineeri...,"mechanical engineering, Analysis, Structural analysis, Automation, Fix, Finite element analysis, Mechanical, Fixtures"
Engineering Manager-Conrad,Hilton Hotels,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,You are also responsible for the development of the Engineering Team and staying abreas...,"Energy conservation, Conservation, Maintenance, Hospitality, Management, Performance, Recruitment, Servicing"
INGDC Material Planner,Hitachi Energy,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Researching, evaluating, and recommending changes to production processes, systems, tec...","Materials, Production, Technology management, Planning, Scheduling, Research, Supervision, Product portfolio"
INGDC Material Planner,Hitachi Ltd.,3-7 Yrs,Not disclosed,Bangalore/Bengaluru,"Researching, evaluating, and recommending changes to production processes, systems, tec...","Materials, Production, Technology management, Planning, Scheduling, Research, Supervision, Product portfolio"
Microgrid partner enablement and support leader,Schneider Electric,8-11 Yrs,Not disclosed,Bangalore/Bengaluru,". o . For a few major and selected countries, help them set-up the required infrastruct...","Renewable energy, Training, Management, Focus, Delivery, PLC, Software testing, Project management"
"Electronics Hardware, Principle Technical expert",Schneider Electric,7-10 Yrs,Not disclosed,Bangalore/Bengaluru,. Coordinates testing of new parts evaluates test results and approves or rejects usage...,"Electronics Hardware, Technical, Troubleshooting, SOC, SMPS, Circuit designing, Hardware design, SPI"
Senior Electrical Engineer,Quality Engineering Software Technologies Pvt. Ltd.,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"innovators, who are not only inspired by technology and innovation, but also perpetuall...","Supply, Preventive, Electrical engineering, Troubleshooting, Senior, Engineering, Power supply, Scheduling"
Electro - Mechanical Design Professional,Quality Engineering Software Technologies Pvt. Ltd.,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,"innovators, who are not only inspired by technology and innovation, but also perpetuall...","Metal, Mechanical design, Data, Mechanical, Engineering, Data management, Engineering services, Design"
Electrical Engineer,Quality Engineering Software Technologies Pvt. Ltd.,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"They generate bills of materials (BOMs), wiring lists, cable schedules, and other relev...","Electrical engineering, Technical, Troubleshooting, Documents, Technical leadership, Documentation, Design, Electricals"
Senior Engineer - RAMS,Thales,4-10 Yrs,Not disclosed,Bangalore/Bengaluru,Bachelor of Technology / Science in Electrical/ Electronics Engineering or equivalent ....,"Microsoft, Electronics, Hardware design, Reliability Prediction, Diagnostics, Reliability, Office, Electronics engineering"
Plc Programmer,Titan,1-3 Yrs,2.75-5 Lacs PA,"Hosur, Tamil Nadu, Chennai, Bangalore/Bengaluru","Job Requirements. Education. BE / Diploma in EEE, E&I and MechatronicsRelevant Experien...","PLC, Program, Hydraulics, Pneumatics"
Sr Engineer Mfg,Kennametal,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,This position is required to take care of the facilities of Bangalore plant including a...,"MIS reporting, Reporting, Manufacturing engineering, Management, EHS, Facility management, Electricals, SR"
Analyst,Kennametal,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"monitor shift output, . Machine scheduling, and man managementA weekly and monthly basi...","Customer service, CNC machines, Improvement, EHS, Continuous improvement, Monitoring, TPM, Analysis"
Jr. Engineer - Piping,Quality Engineering Software Technologies Pvt. Ltd.,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"innovators, who are not only inspired by technology and innovation, but also perpetuall...","Plant, LNG, Gap analysis, Layout, Analysis, Engineering, Design, Jrss"
Group Manager -Electrical Maintenance,Tech Mahindra,12-20 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Qulaified with 15+ years experience Should have managed a...,"Group management, Electricals, Maintenance management, Management, Electrical maintenance, Maintenance"
Lead Product Design Engineer,Larsen & Toubro (L&T),7-10 Yrs,Not disclosed,"Bangalore/ Bengaluru, Karnataka",Experience : 7 to 10 Years . Education : Bachelors or Masters / PHD in Mechanical / Aer...,"consumer electronics products, Failure Analysis, mechanical design, Electronics, Product design, Enterprise, Consumer, Mechanical"
Industry X - Aero Engineering - ESI - 11,Accenture,4-7 Yrs,Not disclosed,Bangalore/Bengaluru,Experience on Airbus Tools & Methods is mustGood understanding of Engineering Drawing i...,"Aero Engineering, VPM, Manufacturing operations, Engineering drawing, Engineering, Design, 3D, Tools"
Electrician,Pace Digitek Infra Pvt Ltd,5-10 Yrs,2.5-3 Lacs PA,Bangalore/Bengaluru(Kumbalgodu),Preferred candidate profile . Qualification: ITI - Electrician / DEEE. The candidates l...,"Electrical Maintenance, Electrician Activities, Electricians, Electricals, Electrical works, Maintenance"
Assembly Process Planning Engineer,Cyient,4-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Bangalore/Bengaluru",Experience: 4-6 Years . Job title: ME / Planning Engineer . Job Location: Hyderabad . Q...,"Automotive, Manufacturing engineering, Microsoft, Planning, Assembly, Process engineering, Assembly process, Office"
Lineman,TGM Services,2-7 Yrs,30-35 Lacs PA,"Kolkata, West Bengal, Visakhapatnam/ Vizag, Andhra Pradesh, Hyderabad/Secunderabad, Mysore/ Mysuru, Karnataka, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Desired Candidate Profile: Candidates in this group perform a variety of electrical and...,"Transmission Line, lineman, Rural Electrification, Erection Commissioning, ITI, LT, 400Kv, Line"
Lineman,TGM Services,2-7 Yrs,30-35 Lacs PA,"Kolkata, West Bengal, Visakhapatnam/ Vizag, Andhra Pradesh, Hyderabad/Secunderabad, Mysore/ Mysuru, Karnataka, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",Desired Candidate Profile: Candidates in this group perform a variety of electrical and...,"Transmission Line, lineman, Rural Electrification, Erection Commissioning, ITI, 400Kv, Compensation, Erection"
Product Compliance Specialist: Electrical & Electronic Equipment s,HM Constructions,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Have several years of work experience within product regulations and compliance relevan...,"Electronics, EMC, ROHS, Equipment, Product quality, Quality, Product Compliance, Supply"
SFDC Developer,Arrow Electronics,4-8 Yrs,7-16 Lacs PA,"Pune, Maharashtra, Bangalore/ Bengaluru, Karnataka",Must have SFDC development experience (Certified Salesforce.com Developer Preferred) Ca...,"sfdc development, SFDC, Development, Salesforce"
Stress Engineer-Walk-In Drive @ Pune & Bangalore on 16 July 23 Sunday,Cyient,3-8 Yrs,Not disclosed,"Pune, Maharashtra, Bangalore/Bengaluru","Cyient is a global engineering and technology solutions company. As a Design, Build, an...","hypermesh, Abaqus, FEA, Ansys, Stress Analysis, Patran, Ansys Classic, Analysis"
Management Trainee - Engineers,Talent Destination,0-2 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Maharashtra, Ahmedabad, Chennai, Bangalore/ Bengaluru, Karnataka, Delhi / NCR, Mumbai (All Areas)",1) Must be an engineering graduate from a reputed Institute. 2) Should have good commun...,"Engineers, Management Trainees, Training management, Management, Engineering, Training, freshers"
Engineer - Component,Centum Electronics,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,Experience: 2 yrs to 4 yrs. Education: BE / BTech E&C . .,"component engineering, Msl, MFR, Components, ROHS, Engineering, Reach, MCL"
Civil Engineer,Shree Ji Infratech,7-12 Yrs,3-7 Lacs PA,Bangalore/Bengaluru,The person will be responsible for the overall progress of project.The role includes li...,"Civil Construction, Site Execution, Execution, Bar bending schedule, Schedule, Subcontractors, Contracts, Civil engineering"
ASIC Design Engineer,Intel,8-10 Yrs,Not disclosed,Hybrid - Bangalore/Bengaluru,Develops and supports digital circuit design for cell libraries.Performs custom digital...,"ASIC, ModelSim, Version control, ASIC Design, Design, VHDL, RTL, Ddr"
Pipeline Engineer,Kellogg Brown & Root (KBR),6-11 Yrs,Not disclosed,"Chennai, Bangalore/ Bengaluru, Karnataka",. - Candidate should have a degree in Mechanical / PG in Pipeline engineering. . - 6 to...,"pipeline, Caesar, Engineering, Piping, Pipeline Engineering, Gas, Onshore, Caesar II"
SQE Engineer,Foxconn Hon Hai Technology India Mega Development,7-12 Yrs,5-8 Lacs PA,"Bangalore/ Bengaluru, Karnataka",Preferred candidate profile . Only from EMS Industry . Experience- 4-15 Years. Location...,"RoHS test, SQE, IQC test equipment assesment, SMT, IQC HC assesment, IQC, ROHS, Equipment"
